Nome Articolo	Fornitore Greggio	IDCOLL
BANJO ACC. TELA	Taborelli	CV
BANJO IN SEMPLICE	Taborelli	CV
BARBADOS ACC LIGHT	Lange	CCL
BARBADOS ACC TELA	Lange	CCL
BARBADOS IN SEMPLICE	Lange	CV
BARFLY	Forma	CV
BARKLEY ACC DENIM	Corti	CSP
BARKLEY ACC LIGHT	Corti	CCL
BARKLEY ACC REPS	Corti	CSP
BARKLEY ACC TELA	Corti	CCL
BARKLEY IN SEMPLICE	Corti	CCL
BARKLEY PRONTO TINTA	Corti	CSP
BARRY WHITE  ACC. REPS BEROFIN	My Way	CV
BARRY WHITE ACC. LIGHT BEROFIN	My Way	CV
BARRY WHITE IN SEMPLICE	My Way	CV
BASE NEW KUMQUAT SEMPLICE	Tat	CV
BASE WHITE FLOWERS ACC TELA	Taborelli	CSP
BASE WHITE FLOWERS IN SEMPLICE	Taborelli	CSP
BASKET	Donghi	CV
BASKET METAL IN SEMPLICE ARGENTO	Romano'	CCL
BASKET METAL IN SEMPLICE colorato	Romano'	CCL
BASKET METAL IN SEMPLICE ORO SATINATO	Romano'	CCL
BASKET METAL LIGHT colorato	Romano'	CCL
BASKET METAL LIGHT ORO SATINATO	Romano'	CCL
BASKET METAL LIGHT ORO/ ARGENTO	Romano'	CCL
BASKET METAL TELA ARGENTO	Romano'	CCL
BASKET METAL TELA colorato	Romano'	CCL
BASKET METAL TELA ORO SATINATO	Romano'	CCL
BAY	Toia	CV
BAYA AZUL ACC. LIGHT	Lange	CCL
BAYA AZUL ACC. TELA	Lange	CCL
BAYA AZUL IN SEMPLICE	Lange	CCL
BAYLIN BIANCO	Erco Pizzi	CV
BAYLIN NERO	Erco Pizzi	CV
BEACH BIANCO GUCCI + IDRO+FORO	Eurojersey	CSP
BEACH BIANCO GUCCI FORATO no idro	Eurojersey	CSP
BEACH COLORATO FORATO gucci	Eurojersey	CSP
BEACH COLORATO GUCCI	Eurojersey	CSP
BEACH COLORE AL CAMPIONE  FORATO gucci	Eurojersey	CSP
BEACH COSTO ACCOPPIATURA	Map	CSP
BEACH SOLO COSTO ACCOPPIATURA + FORO	Il Foro	CSP
BEAVER	Ermapel	CV
beker resinato	Tat	CV
BELFAST RESINATO EXPERT	My Way	
BENJY	Piave	CV
BENJY COLORATI	Piave	CV
BENNY	Toia	CV
BERGHEN RESINATO EXPERT	My Way	
BERRY ACC. TELA	Corti	CV
BERRY IN SEMPLICE	Corti	CV
BERRY LIGHT	Corti	CV
BERRY REPS	Gif	CV
BERRY RESINATO	Gif	CV
BERRY SEMPLICE	Gif	CV
BERRY SOFT	Gif	CV
BI ZONE	Sitip	CV
BIG  TWILLE ACC. REPS + IDRO	Taborelli	CV
BIG CANVAS ACC TELA COLORATO	Lange	CCL
BIG CANVAS ACC. TELA COL. NATURALE	Lange	
BIG LEO ACC. LIGHT	Beccalli	CV
BIG LEO ACC. REPS	Beccalli	CV
BIG LEO ACC. TELA	Beccalli	CV
BIG LEO IN SEMPLICE	Beccalli	CV
BIG RUNNER ACC LIGHT	Corti	CE 12
BIG RUNNER ACC REPS	Corti	CE 12
BIG RUNNER SEMPLICE	Corti	CE 12
BIG SAND ACC LIGHT	Lange	CCL
BIG SAND ACC TELA	Lange	CCL
BIG SAND IN SEMPLICE	Lange	CCL
BIG SAND RESINATO BEROFIN	Lange	CCL
BIG SAND RESINATO EXPERT	Lange	CCL
BIG SKY    ORO/ARGENTO	Taborelli	CV
BIG STONE  ACC.TELA	Corti	CCL
BIG STONE ACC. DENIM NERO	Corti	CSP
BIG STONE ACC.LIGHT	Corti	CCL
BIG STONE IN SEMPLICE	Corti	CCL
BIG TWILL ACC. LIGHT	Taborelli	CV
BIG TWILLE ACC. TELA BEROFIN	Taborelli	CV
BIG. STONE ACC. TELA + IDRO BEROFIN	Corti	CSP
BIG. TWILL IN SEMPLICE	Taborelli	CV
BIG. TWILLE ACC. SOFT + IDRO	Taborelli	CV
BIG.TWILLE	Taborelli	CV
BIKINIS	Lange	CV
BILLA	Heat Coat	CV
BIZZY SEMPLICE	Tat	CV
BIZZY STRETCH	Tat	CV
BLACK  JUNGLE	Frigerio	CV
BLACK AFRICA ACC. LIGHT	Frigerio	CV
BLACK AFRICA ACC. TELA	Frigerio	CV
BLACK AFRICA IN SEMPLICE	Frigerio	CV
BLACK BARRY ACC.LIGHT	Taborelli	CCL
BLACK BARRY ACC.REPS	Taborelli	CCL
BLACK BARRY IN SEMPLICE	Taborelli	CCL
BLACK CHOCO ACC LIGHT	Taborelli	CE 10
BLACK CHOCO ACC REPS	Taborelli	CE 10
BLACK CHOCO IN SEMPLICE	Taborelli	CE 10
BLACK CROCO ACC.LIGHT	Dalmatex	CCL
BLACK CROCO IN SEMPLICE	Dalmatex	CCL
BLACK DIAMOND LAMINA COLOR.  ACC. REPS	Erco Pizzi	CV
BLACK DIAMOND LAMINA COLOR.ACC.LIGHT	Erco Pizzi	CV
BLACK DIAMOND LAMINA ORO/ARG. ACC. LIGHT	Erco Pizzi	CV
BLACK DIAMOND LAMINA ORO/ARG. ACC. REPS	Erco Pizzi	CV
BLACK GLITT	My Way	CV
BLACK GLITT LAMINA COLORATA	My Way	CV
BLACK GLITT LAMINA ORO/AGENTO	My Way	CV
BLACK HOT	Frigerio	CV
BLACK IRON acc LIGHT	Taborelli	CE 10
BLACK IRON acc TELA	Taborelli	CE 10
BLACK IRON IN SEMPLICE	Taborelli	CE 10
BLACK JAM ACC. LIGHT	Corti	CV
BLACK JAM ACC. TELA	Corti	CV
BLACK JAM IN SEMPLICE	Corti	CV
BLACK LADY ACC LIGHT	Taborelli	CE 10
BLACK LADY ACC TELA	Taborelli	CE 10
BLACK LADY IN SEMPLICE	Taborelli	CE 10
BLACK LAME'	Frigerio	CV
BLACK LEGEND ACC LIGHT	Pozzi	CE 10
BLACK LEGEND ACC TELA	Pozzi	CE 10
BLACK LEGEND IN SEMPLICE	Pozzi	CE 10
BLACK LEO LIGHT	Miti	CV
BLACK LEO SEMPLICE	Miti	CV
BLACK LEO TELA	Miti	CV
BLACK MESH + IDRO SEMPLICE	Corti	CSP
BLACK MESH ART 64 ACC LIGHT	Corti	CI 10/11
BLACK MESH ART 64 ACC TELA	Corti	CI 10/11
BLACK MESH ART 64 IN SEMPLICE	Corti	CI 10/11
BLACK NEOPREN	Carvico	CI 11/12
BLACK PYTON LIGHT	Dalmatex	CI09/10
BLACK PYTON TELA	Dalmatex	CI09/10
BLACK RIO ACC LIGHT	Lange	CE 10
BLACK RIO ACC TELA	Lange	CE 10
BLACK RIO IN SEMPLICE	Lange	CE 10
BLACK SAND ACC.LIGHT	Taborelli	CV
BLACK SAND ACC.TELA	Taborelli	CV
BLACK SAND COBRA ACC LIGHT	Taborelli	CE 10
BLACK SAND COBRA ACC TELA	Taborelli	CE 10
BLACK SAND COBRA IN SEMPLICE	Taborelli	
BLACK SAND IN SEMPLICE	Taborelli	CV
BLACK SHARK ACC LIGHT	Corti	CI09/10
BLACK SHARK ACC REPS	Corti	CI09/10
BLACK SHARK CON OVATTA 120	Corti	CSP
BLACK SHARK IN SEMPLICE	Corti	CI09/10
BLACK SOUL ACC. LIGHT	Sat idea	CV
BLACK SOUL ACC. REPS	Sat idea	CV
BLACK SOUL IN SEMPLICE	Sat idea	CV
BLACK VELVET	Namsan Technology	CV
BLACK VELVET ACC.REPS NO IDRO BEROFIN	My Way	CV
BLACK VENIX ACC.LIGHT	Dalmatex	CV
BLACK VENIX IN SEMPLICE	Dalmatex	CV
BLACK WOOL  ACC LIGHT	Taborelli	CI 10/11
BLACK WOOL ACC REPS	Taborelli	CI 10/11
BLACK WOOL ART 83 IN SEMPLICE	Taborelli	CI 10/11
BLACK WOOL CRINKLE ACC LIGHT	Taborelli	CI 10/11
BLACK WOOL CRINKLE IN SEMPLICE	Taborelli	CI 10/11
BLACKBULL ACC. MTP 2 MM	Maglificio Tgv	CV
BLADE	Lange	CV
BLOOM	Tex Fation	CV
BLU SKY PESANTE	Dalmatex	CV
BLUE  VELVET	My Way	CV
BLUE ANGEL	Toia	CV
BLUE ANGEL ACC. LIGHT	Taborelli	CV
BLUE ANGEL ACC. TELA	Taborelli	CV
BLUE ANGEL IN SEMPLICE	Taborelli	CV
BLUE BABY	Croma srl	CV
BLUE BAHIA ACC LIGHT	Frigerio	CE 11
BLUE BAHIA ACC REPS	Frigerio	CE 11
BLUE BAHIA CRINKLE	Frigerio	CE 11
BLUE BAHIA CRINKLE LIGHT	Frigerio	CE 11
BLUE BAHIA IN SEMPLICE	Frigerio	CE 11
BLUE BAHIA RESINATO	Frigerio	CSP
BLUE BARRY ACC. LIGHT	Taborelli	CV
BLUE BARRY ACC. REPS	Taborelli	CV
BLUE BARRY IN SEMPLICE	Taborelli	CV
BLUE BAY ACC. LIGHT	Lange	CV
BLUE BAY ACC. TELA	Lange	CV
BLUE BAY IN SEMPLICE	Lange	CV
BLUE BEACH ACC LIGHT	Beccalli	CCL
BLUE BEACH ACC REPS	Beccalli	CCL
BLUE BEACH IN SEMPLICE	Beccalli	CCL
BLUE BELL	Beccalli	CV
BLUE CALYPSO	Radici Group	CI09/10
BLUE CHRONO ACC LIGHT	Pozzi	CE 10
BLUE CHRONO ACC TELA	Pozzi	CE 10
BLUE CHRONO IN SEMPLICE	Pozzi	CE 10
BLUE CRINKLE ACC. LIGHT	Corti	CV
BLUE CRINKLE ACC. REPS	Corti	CV
BLUE CRINKLE ACC. TELA	Corti	CV
BLUE CRINKLE IN SEMPLICE	Corti	CV
BLUE DENIM ACC. LIGHT WASHED	Berto spa	CV
BLUE DENIM ACC. TELA	Berto spa	CV
BLUE DENIM ACC. TELA WASHED	Berto spa	CV
BLUE DENIM IN SEMPLICE	Berto spa	CV
BLUE DENIM IN SEMPLICE WASHED	Berto spa	CV
BLUE DENIMACC. LIGHT	Berto spa	CV
BLUE DIAMOND LAMINA COLORATA	Erco Pizzi	CV
BLUE DIAMOND LAMINA ORO/ARGENTO	Erco Pizzi	CV
BLUE FALLS ACC LIGHT	Taborelli	CI09/10
BLUE FALLS ACC REPS	Taborelli	CI09/10
BLUE FALLS IN SEMPLICE	Taborelli	CI09/10
BLUE FIRE	Erco Pizzi	CV
BLUE FLOWER LIGHT	Lange	CV
BLUE FLOWER SEMPLICE	Lange	CV
BLUE FLOWER TELA	Lange	CV
BLUE ISLAND ACC. LIGHT	Taborelli	CV
BLUE ISLAND ACC. REPS	Taborelli	CV
BLUE ISLAND IN SEMPLICE	Taborelli	CV
BLUE JANEIRO VAR 1 A 6 ACC LIGHT	Pozzi	CE 10
BLUE JANEIRO VAR 1 A 6 ACC TELA	Pozzi	CE 10
BLUE JANEIRO VAR 1 A 6 IN SEMPLICE	Pozzi	CE 10
BLUE JANEIRO VAR 7 A 12 ACC LIGHT	Pozzi	CE 10
BLUE JANEIRO VAR 7 A 12 ACC TELA	Pozzi	CE 10
BLUE JANEIRO VAR 7 A 12 IN SEMPLICE	Pozzi	CE 10
BLUE JAY ACC LIGHT	Dalmatex	CCL
BLUE JAY ACC TELA	Dalmatex	CCL
BLUE JAY IN SEMPLICE	Dalmatex	CCL
BLUE JET  ACC LIGHT	Tat	CI 10/11
BLUE JET  ACC REPS	Tat	CI 10/11
BLUE JET  SEMPLICE	Tat	CI 10/11
BLUE JET TELA + IDRO	Tat	CSP
BLUE JET TELA EXPERT	Tat	CSP
BLUE KIWI ACC LIGHT	Taborelli	CCL
BLUE KIWI ACC TELA	Taborelli	CCL
BLUE KIWI IN SEMPLICE	Taborelli	CCL
BLUE METAL	Dalmatex	CV
BLUE MEXICAN IN SEMPLICE bicolore	Magitex	CCL
BLUE MEXICAN IN SEMPLICE monocolore	Magitex	CCL
BLUE MEXICAN LIGHT bicolore	Magitex	CCL
BLUE MEXICAN LIGHT monocolore	Magitex	CCL
BLUE MEXICAN TELA bicolore	Magitex	CCL
BLUE MEXICAN TELA monocolore	Magitex	CCL
BLUE MOON IN SEMPLICE	Valli	CCL
BLUE OCEAN LIGHT	Frigerio	CE 12
BLUE OCEAN REPS	Frigerio	CE 12
BLUE OCEAN REPS+ idro	Frigerio	CSP
BLUE OCEAN SEMPLICE	Frigerio	CE 12
BLUE POP ACC. REPS	Corti	CV
BLUE POP ACC. STRETCH	Corti	CV
BLUE POP ACC. TELA	Corti	CV
BLUE POP MTP DENSITA 40 FINITO 2 MM CON NS.LOFT	Corti	CV
BLUE POP MTP DENSITA' 40 FINITO 2MM	Corti	CV
BLUE POP SEMPLICE	Corti	CV
BLUE RAIN	Miti	CCL
BLUE REEF ACC  REPS	Frigerio	CE 11
BLUE REEF ACC LIGHT	Frigerio	CE 11
BLUE REEF CRINKLE	Frigerio	CE 11
BLUE REEF CRINKLE LIGHT	Frigerio	CE 11
BLUE REEF IN SEMPLICE	Frigerio	CE 11
BLUE REEF RESINATO	Frigerio	
BLUE ROSE  ACC. TELA	Lange	CV
BLUE ROSE ACC. LIGHT	Lange	CV
BLUE ROSE IN SEMPLICE	Lange	CV
BLUE SAND 1 ACC LIGHT	Lange	CCL
BLUE SAND 1 ACC TELA	Lange	CCL
BLUE SAND 1 IN SEMPLICE	Lange	CCL
BLUE SAND ACC LIGHT	Lange	
BLUE SAND ACC TELA	Lange	CE 10
BLUE SAND CRINKLE IN SEMPLICE	Lange	CE 10
BLUE SAND CRINKLE LIGHT	Lange	CE 10
BLUE SAND IN SEMPLICE	Lange	CE 10
BLUE SAND PE 12 CRINKLE	Raion Inveruno	CE 12
BLUE SAND PE 12 CRINKLE LIGHT	Raion Inveruno	CE 12
BLUE SAND PE 12 light	Raion Inveruno	CE 12
BLUE SAND PE 12 SEMPLICE	Raion Inveruno	CE 12
BLUE SAND REPS	Raion Inveruno	CE 12
BLUE SHOT	Radici Group	CI09/10
BLUE SKY	Dalmatex	CCL
BLUE SKY ACC. TELA NATUZZI	Dalmatex	CSP
BLUE SKY PESANTE	Dalmatex	CSP
BLUE SKY SOFT	Dalmatex	CCL
BLUE SOFT SENZA TELA	Dalmatex	CV
BLUE SOUL ACC. LIGHT COLORATO	Mariani cinese	CV
BLUE SOUL ACC. LIGHT ORO/ARGENTO	Mariani cinese	CV
BLUE SOUL ACC. REPS COLORATO	Mariani cinese	CV
BLUE SOUL ACC. REPS ORO/ARGENTO	Mariani cinese	CV
BLUE SOUL ACC. TELA  ORO ARGENTO	Mariani cinese	CV
BLUE SOUL ACC. TELA COLORATO	Mariani cinese	CV
BLUE SOUL IN SEMPLICE COLORATO	Mariani cinese	CV
BLUE SOUL IN SEMPLICE ORO/ARGENTO	Mariani cinese	CV
BLUE VELVET ACC. LIGHT	My Way	CV
BLUE VELVET ACC. REPS	My Way	CV
BLUE VELVET IN SEMPLICE	My Way	CV
BLUE WAVE	My Way	CCL
BLUISH	Toia	CV
BLUISH BIFACE WASHED	Toia	CV
BOCA BIANCO / NERO	Fillattice	CV
BOCA COLORATI	Fillattice	CV
BOCA RATON ACC. LIGHT	Lange	CV
BOCA RATON ACC. TELA	Lange	CV
BOCA RATON IN SEMPLICE	Lange	CV
BOCA SAND	Lange	CV
BOCA WASHE ACC. LIGHT	Lange	CV
BOCA WASHED ACC. TELA	Lange	CV
BOCA WASHED IN SEMPLICE	Lange	CV
BOLAS ACC. REPS	Namsan Technology	CV
BONG ACC. LIGHT	Lange	CV
BONG ACC. TELA	Lange	CV
BONG IN SEMPLICE	Lange	CV
BOOKER	Dalmatex	CV
BOOTSY RESINATO	Lange	CV
BOOTSY SEMPLICE	Lange	CV
BOOTSY SOFT	Lange	CV
BOOTSY TELA	Lange	CV
BOPSY	Ambiente Uomo	CV
BOREAS ACC. LIGHT	Frigerio	CV
